object_name,bibcode,year,title
MCG +12-02-001 NED01,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
MCG +12-02-001 NED01,2013ApJ...768..102K,2013,Hubble Space Telescope ACS Imaging of the GOALS Sample: Quantitative Structural Properties of Nearby Luminous Infrared Galaxies with L_IR_ &gt;
MACS J0025-1222:[CAZ2018] c4.1,2018ApJ...863..145C,2018,"RELICS: Strong Lensing Analysis of the Galaxy Clusters Abell S295, Abell 697, MACS J0025.4-1222, and MACS J0159.8-0849"
MCPS J00.698370-71.06890,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.698370-71.06890,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.697495-71.08775,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.697495-71.08775,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.691635-71.08104,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.691635-71.08104,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.691635-71.08104,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.698791-71.05576,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.698791-71.05576,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.693004-71.05189,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.693004-71.05189,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.693004-71.05189,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.699555-71.05045,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.699555-71.05045,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.700078-71.05876,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.700078-71.05876,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.700078-71.05876,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.777052-73.50204,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.777052-73.50204,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.779429-73.49464,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.779429-73.49464,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.779429-73.49464,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.779596-73.47911,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.779596-73.47911,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.780268-73.46790,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.780268-73.46790,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.780263-73.49570,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.780263-73.49570,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.780541-73.49788,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.780541-73.49788,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.780541-73.49788,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.780819-73.48782,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.780819-73.48782,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.781149-73.50282,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.781149-73.50282,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.781794-73.47039,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.781794-73.47039,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.781609-73.47349,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.781609-73.47349,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.782173-73.50954,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.782173-73.50954,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.782175-73.46052,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.782175-73.46052,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.782281-73.46871,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.782281-73.46871,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.783611-73.47074,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.783611-73.47074,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.783607-73.49567,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.783607-73.49567,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.782995-73.50707,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.782995-73.50707,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.782725-73.45433,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.782725-73.45433,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.782725-73.45433,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.784048-73.51266,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.784048-73.51266,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.783979-73.48711,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
