filename,object_name,bibcode,year,title
4001168244028,[OMS2023] 4001168244054,2023ApJ...948...40O,2023,
4001169150434,COSMOS 0427406,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169150434,COSMOS 0427406,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169150945,COSMOS 0422954,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169150945,COSMOS 0422954,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169559645,COSMOS 2709145,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169559645,COSMOS 2709145,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169559761,COSMOS 2703712,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169559761,COSMOS 2703712,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169559976,COSMOS 2703586,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169559976,COSMOS 2703586,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169560222,COSMOS 2701935,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169560222,COSMOS 2701935,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001169982669,COSMOS2015 0373081,2017ApJS..233...19C,2017,Infrared Selection of Obscured Active Galactic Nuclei in the COSMOS Field
4001169982968,COSMOS 0745202,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001169982968,COSMOS 0745202,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001170868761,WISEA J015524.35+275636.2,2023ApJ...948...40O,2023,
4001174802152,[OMS2023] 4001174802153,2023ApJ...948...40O,2023,
4001174802369,SUMSS J015419-593815,2003MNRAS.342.1117M,2003,SUMSS: a wide-field radio imaging survey of the southern sky - II. The source catalogue
4001174802404,WISEA J015418.39-593808.1,2023ApJ...948...40O,2023,
4001177085424,EGSIRAC J141754.98+523314.4,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177085681,EGSIRAC J141800.61+523344.2,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177085769,EGSIRAC J141754.51+523353.7,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177085769,EGSIRAC J141754.51+523353.7,2011ApJ...735...86W,2011,"The NEWFIRM Medium-band Survey: Photometric Catalogs, Redshifts, and the Bimodal Color Distribution of Galaxies out to z ~ 3"
4001177085793,EGSIRAC J141800.35+523356.5,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177085851,DEEP2 12016444,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177085851,DEEP2 12016444,2011ApJ...735...86W,2011,"The NEWFIRM Medium-band Survey: Photometric Catalogs, Redshifts, and the Bimodal Color Distribution of Galaxies out to z ~ 3"
4001177085851,DEEP2 12016444,2012ApJ...760..131C,2012,The Dependence of Quenching upon the Inner Structure of Galaxies at 0.5&lt;z&lt; 0.8 in the DEEP2/AEGIS Survey
4001177085851,DEEP2 12016444,2025ApJ...979...41B,2025,
4001177085877,EGSIRAC J141759.68+523404.1,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
4001177086021,NMBS AEGIS 32076,2011ApJ...735...86W,2011,"The NEWFIRM Medium-band Survey: Photometric Catalogs, Redshifts, and the Bimodal Color Distribution of Galaxies out to z ~ 3"
4001177086068,EGSIRAC J141751.82+523424.9,2008ApJS..177..431B,2008,A Catalog of Mid-Infrared Sources in the Extended Groth Strip
